Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
SRR25266111_1	60.37238714210434	44.0	132.55018443702792	27.27272727272727	28465.0
SRR25266111_2	59.1392938696645	44.0	132.55728087124538	27.27272727272727	28465.0
SRR25266112_1	74.67506469410674	44.0	135.24420682583857	18.181818181818183	102405.0
SRR25266112_2	72.43396318539133	44.0	135.25521214784433	27.27272727272727	102405.0
SRR25266113_1	45.83975912462363	44.0	135.61217595652494	0.0	13617.0
SRR25266113_2	43.548505544539914	44.0	135.54777116839244	9.090909090909092	13617.0
SRR25266114_1	59.71138103034688	44.0	134.45474622091916	27.27272727272727	26263.0
SRR25266114_2	57.87229181738567	44.0	134.44111487644216	27.27272727272727	26263.0
SRR25266115_1	65.91063954054317	44.0	134.1785262338168	27.27272727272727	41092.0
SRR25266115_2	64.47240338752069	44.0	134.1949284532269	27.27272727272727	41092.0
SRR25266116_1	57.22299000081294	44.0	135.7631899845541	27.27272727272727	24602.0
SRR25266116_2	55.96292984310219	44.0	135.75205267864402	18.181818181818183	24602.0
SRR25266117_1	48.094989561586644	43.0	119.88596033402922	0.0	19160.0
SRR25266117_2	48.037578288100214	43.0	119.91101252609603	0.0	19160.0
SRR25266118_1	63.9043689113881	46.0	134.93355170800186	27.27272727272727	23507.0
SRR25266118_2	62.98974773471732	46.0	134.95256732037265	27.27272727272727	23507.0
SRR25266119_1	60.028339124860835	44.0	131.57653250565096	27.27272727272727	29641.0
SRR25266119_2	57.963631456428594	44.0	131.60585000506055	18.181818181818183	29641.0
SRR25266120_1	53.8683106776492	44.0	134.73849108090354	27.27272727272727	19789.0
SRR25266120_2	53.085047248471376	44.0	134.7537520844914	27.27272727272727	19789.0
SRR25266121_1	71.07865872767158	44.0	130.5883923534942	27.27272727272727	79775.0
SRR25266121_2	68.41115637731119	44.0	130.62639924788468	27.27272727272727	79775.0
SRR25266122_1	70.72968910954624	44.0	135.0647618082645	18.181818181818183	59217.0
SRR25266122_2	69.10853302261175	44.0	135.04878666599117	27.27272727272727	59217.0
SRR25266123_1	49.06069904947235	44.0	133.80787366215102	18.181818181818183	13361.0
SRR25266123_2	42.98330963251254	44.0	134.06960556844547	18.181818181818183	13361.0
SRR25266124_1	49.55869690011481	44.0	124.86825487944891	0.0	27872.0
SRR25266124_2	43.61366245694603	44.0	125.08912169919633	9.090909090909092	27872.0
SRR25266125_1	62.73721308512561	44.0	128.64052051328395	18.181818181818183	44264.0
SRR25266125_2	61.80417495029821	44.0	128.70221850713898	27.27272727272727	44264.0
SRR25266126_1	67.704734562795	44.0	133.1080969295898	27.27272727272727	41102.0
SRR25266126_2	66.17196243491802	44.0	133.15777821030608	27.27272727272727	41102.0
SRR25266127_1	66.13574620979756	44.0	133.36335553413372	27.27272727272727	45644.0
SRR25266127_2	64.67881868372623	44.0	133.40491630882482	27.27272727272727	45644.0
SRR25266128_1	44.02838962310328	43.0	129.80567792462065	9.090909090909092	8172.0
SRR25266128_2	43.41654429760157	43.0	129.84018600097895	18.181818181818183	8172.0
