Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
SRR25266111_trim.1	SRR25266111_trim.1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	27893.0	0.0	45-151	44.0	39.00620227297171	133.63309790986986	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
SRR25266111_trim.2	SRR25266111_trim.2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	27893.0	0.0	45-151	44.0	40.17853941849209	133.16240633850788	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
SRR25266112_trim.1	SRR25266112_trim.1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	100696.0	0.0	45-151	44.0	24.691149598792407	136.0303487725431	pass	pass	pass	pass	warn	fail	pass	warn	fail	warn	pass
SRR25266112_trim.2	SRR25266112_trim.2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	100696.0	0.0	45-151	44.0	26.938507984428377	135.27988202113292	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
SRR25266113_trim.1	SRR25266113_trim.1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	13343.0	0.0	45-151	44.0	54.11076969197332	134.9291763471483	pass	pass	pass	pass	fail	warn	pass	warn	warn	warn	pass
SRR25266113_trim.2	SRR25266113_trim.2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	13343.0	0.0	45-151	44.0	56.34415049089411	134.15094056808815	pass	pass	pass	pass	fail	warn	pass	warn	warn	warn	pass
SRR25266114_trim.1	SRR25266114_trim.1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	25807.0	0.0	45-151	44.0	39.81865385360561	135.36606347115125	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
SRR25266114_trim.2	SRR25266114_trim.2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	25807.0	0.0	45-151	44.0	41.6592397411555	134.76595497345681	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
SRR25266115_trim.1	SRR25266115_trim.1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	40349.0	0.0	45-151	44.0	33.45559989095145	135.12364618701827	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
SRR25266115_trim.2	SRR25266115_trim.2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	40349.0	0.0	45-151	44.0	34.855882425834594	134.59015093310862	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
SRR25266116_trim.1	SRR25266116_trim.1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	24244.0	0.0	45-151	44.0	42.44349117307375	136.26233294835836	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
SRR25266116_trim.2	SRR25266116_trim.2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	24244.0	0.0	45-151	44.0	43.67266127701699	135.6978633888797	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
SRR25266117_trim.1	SRR25266117_trim.1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	18416.0	0.0	45-151	43.0	50.88509991311903	122.87033014769766	pass	pass	pass	pass	warn	pass	pass	warn	warn	warn	pass
SRR25266117_trim.2	SRR25266117_trim.2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	18416.0	0.0	45-151	43.0	50.94483058210252	122.77199174630756	pass	pass	pass	pass	warn	pass	pass	warn	warn	warn	pass
SRR25266118_trim.1	SRR25266118_trim.1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	23133.0	0.0	45-151	46.0	35.66333808844508	135.47127480223057	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
SRR25266118_trim.2	SRR25266118_trim.2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	23133.0	0.0	45-151	46.0	36.49764405827173	135.12199023040677	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
SRR25266119_trim.1	SRR25266119_trim.1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	28991.0	0.0	45-151	44.0	39.26735883550067	132.79076265047775	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
SRR25266119_trim.2	SRR25266119_trim.2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	28991.0	0.0	45-151	44.0	41.319719913076476	131.993929150426	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
SRR25266120_trim.1	SRR25266120_trim.1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	19504.0	0.0	45-151	44.0	45.734208367514356	135.3708470057424	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
SRR25266120_trim.2	SRR25266120_trim.2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	19504.0	0.0	45-151	44.0	46.49302707136997	134.88504922067267	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
SRR25266121_trim.1	SRR25266121_trim.1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	77915.0	0.0	45-151	44.0	28.01771160880447	131.93336328049799	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
SRR25266121_trim.2	SRR25266121_trim.2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	77915.0	0.0	45-151	44.0	30.738625425142786	130.99910158506063	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
SRR25266122_trim.1	SRR25266122_trim.1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	58235.0	0.0	45-151	44.0	28.69236713316734	135.8298789387825	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
SRR25266122_trim.2	SRR25266122_trim.2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	58235.0	0.0	45-151	44.0	30.232677942817894	135.33706533871384	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
SRR25266123_trim.1	SRR25266123_trim.1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	13094.0	0.0	45-151	44.0	50.84007942569115	133.93256453337406	pass	pass	pass	pass	fail	fail	pass	warn	warn	warn	pass
SRR25266123_trim.2	SRR25266123_trim.2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	13094.0	0.0	45-151	44.0	56.995570490300906	131.70482663815488	pass	pass	pass	pass	fail	fail	pass	warn	warn	warn	pass
SRR25266124_trim.1	SRR25266124_trim.1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	26819.0	0.0	45-151	44.0	49.94220515306313	125.16231030239756	pass	pass	pass	pass	warn	warn	pass	warn	fail	warn	pass
SRR25266124_trim.2	SRR25266124_trim.2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	26819.0	0.0	45-151	44.0	55.82236474141467	123.14008725157538	pass	pass	pass	pass	fail	warn	pass	warn	warn	warn	pass
