../../results/04_alignQC/sa/SRR25266111	../../results/04_alignQC/sa/SRR25266112	../../results/04_alignQC/sa/SRR25266113	../../results/04_alignQC/sa/SRR25266114	../../results/04_alignQC/sa/SRR25266115	../../results/04_alignQC/sa/SRR25266116	../../results/04_alignQC/sa/SRR25266117	../../results/04_alignQC/sa/SRR25266118	../../results/04_alignQC/sa/SRR25266119	../../results/04_alignQC/sa/SRR25266120	../../results/04_alignQC/sa/SRR25266121	../../results/04_alignQC/sa/SRR25266122	../../results/04_alignQC/sa/SRR25266123	../../results/04_alignQC/sa/SRR25266124	../../results/04_alignQC/sa/SRR25266125	../../results/04_alignQC/sa/SRR25266126	../../results/04_alignQC/sa/SRR25266127	../../results/04_alignQC/sa/SRR25266128	../../results/04_alignQC/sa/SRR25266129	../../results/04_alignQC/sa/SRR25266130	../../results/04_alignQC/sa/SRR25266131	../../results/04_alignQC/sa/SRR25266132	../../results/04_alignQC/sa/SRR25266133	../../results/04_alignQC/sa/SRR25266134	../../results/04_alignQC/sa/SRR25266135	../../results/04_alignQC/sa/SRR25266136	../../results/04_alignQC/sa/SRR25266137	../../results/04_alignQC/sa/SRR25266138	../../results/04_alignQC/sa/SRR25266139	../../results/04_alignQC/sa/SRR25266140	../../results/04_alignQC/sa/SRR25266141	../../results/04_alignQC/sa/SRR25266142	../../results/04_alignQC/sa/SRR25266143
raw total sequences:	55786	201392	26686	51614	80698	48488	36832	46266	57982	39008	155830	116470	26188	53638	86132	80716	89622	15950	35518	33534	67660	17568	55242	26526	19692	202348	52516	21670	33212	67180	37496	111166	69818
filtered sequences:	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sequences:	55786	201392	26686	51614	80698	48488	36832	46266	57982	39008	155830	116470	26188	53638	86132	80716	89622	15950	35518	33534	67660	17568	55242	26526	19692	202348	52516	21670	33212	67180	37496	111166	69818
is sorted:	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1st fragments:	27893	100696	13343	25807	40349	24244	18416	23133	28991	19504	77915	58235	13094	26819	43066	40358	44811	7975	17759	16767	33830	8784	27621	13263	9846	101174	26258	10835	16606	33590	18748	55583	34909
last fragments:	27893	100696	13343	25807	40349	24244	18416	23133	28991	19504	77915	58235	13094	26819	43066	40358	44811	7975	17759	16767	33830	8784	27621	13263	9846	101174	26258	10835	16606	33590	18748	55583	34909
reads mapped:	2158	13458	1064	3237	4561	3355	1525	2054	2486	2580	7995	7194	1229	2973	4979	1700	3056	1870	1498	1869	3578	930	4347	1087	634	7151	2246	1523	966	3436	974	5108	4546
reads mapped and paired:	2158	13454	1064	3236	4560	3352	1524	2052	2482	2580	7992	7192	1226	2968	4976	1698	3048	1870	1496	1868	3578	930	4346	1086	634	7150	2246	1522	966	3436	970	5106	4542
reads unmapped:	53628	187934	25622	48377	76137	45133	35307	44212	55496	36428	147835	109276	24959	50665	81153	79016	86566	14080	34020	31665	64082	16638	50895	25439	19058	195197	50270	20147	32246	63744	36522	106058	65272
reads properly paired:	2150	13428	1060	3220	4556	3334	1440	2052	2472	2580	7952	7174	1226	2956	4964	1678	3046	1870	1432	1868	3546	928	4340	1086	634	7142	2242	1522	964	3424	962	4944	4512
reads paired:	55786	201392	26686	51614	80698	48488	36832	46266	57982	39008	155830	116470	26188	53638	86132	80716	89622	15950	35518	33534	67660	17568	55242	26526	19692	202348	52516	21670	33212	67180	37496	111166	69818
reads duplicated:	58	1260	12	68	192	104	65	48	72	74	561	398	26	90	210	14	86	54	26	32	114	14	180	8	2	388	64	36	12	130	8	219	192
reads MQ0:	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
reads QC failed:	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
non-primary alignments:	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
supplementary alignments:	6	29	0	26	1	10	94	0	8	6	44	12	0	2	10	26	2	1	48	1	23	0	7	0	0	6	0	0	4	23	2	243	38
total length:	7440016	27313665	3589331	6969671	10880198	6591134	4522989	6258554	7676080	5269964	20481712	15788666	3477666	6657828	11196098	10791931	12011417	2088072	4827882	4462530	9230488	2348079	7594023	3534544	2600052	27553246	6965917	2818657	4360738	9007179	4805283	14964150	9471408
total first fragment length:	3726692	13694443	1799846	3492445	5450833	3302407	2262454	3133359	3849522	2639662	10277370	7908558	1753417	3356238	5608382	5408346	6016984	1045694	2422989	2234191	4629541	1175451	3805461	1768907	1301681	13816449	3486995	1422547	2181781	4512529	2453122	7497119	4743004
total last fragment length:	3713324	13619222	1789485	3477226	5429365	3288727	2260535	3125195	3826558	2630302	10204342	7880108	1724249	3301590	5587716	5383585	5994433	1042378	2404893	2228339	4600947	1172628	3788562	1765637	1298371	13736797	3478922	1396110	2178957	4494650	2352161	7467031	4728404
bases mapped:	293911	1839272	144479	439701	622867	462665	189661	284299	332901	351894	1060709	988626	166821	367389	651340	232048	417867	245518	204520	254646	493747	124403	601266	144363	86117	986629	301750	200976	131882	467443	125123	691768	616079
bases mapped (cigar):	290591	1817118	142931	432707	616141	457375	181869	281593	328811	346577	1047617	977530	164556	361971	643067	229342	411024	243504	200821	252045	488457	123057	595366	142001	85659	976942	297859	197621	130608	462138	123642	673409	607237
bases trimmed:	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bases duplicated:	7489	167253	1656	9483	25027	14578	7861	6611	9908	9400	71771	54226	3426	10683	25066	2045	11641	6858	3181	4556	16037	1742	24256	1069	301	53038	7828	4732	1639	16450	906	28091	25070
mismatches:	408	2015	306	559	861	745	396	403	427	456	1363	1199	412	1248	875	296	571	233	217	371	929	98	834	188	80	1212	325	675	156	524	500	1085	821
error rate:	1.404035e-03	1.108899e-03	2.140893e-03	1.291867e-03	1.397407e-03	1.628860e-03	2.177391e-03	1.431143e-03	1.298618e-03	1.315725e-03	1.301048e-03	1.226561e-03	2.503707e-03	3.447790e-03	1.360667e-03	1.290649e-03	1.389213e-03	9.568631e-04	1.080564e-03	1.471959e-03	1.901907e-03	7.963789e-04	1.400819e-03	1.323934e-03	9.339357e-04	1.240606e-03	1.091120e-03	3.415629e-03	1.194414e-03	1.133860e-03	4.043933e-03	1.611205e-03	1.352026e-03
average length:	133	135	134	135	134	135	122	135	132	135	131	135	132	124	129	133	134	130	135	133	136	133	137	133	132	136	132	130	131	134	128	134	135
average first fragment length:	134	136	135	135	135	136	123	135	133	135	132	136	134	125	130	134	134	131	136	133	137	134	138	133	132	137	133	131	131	134	131	135	136
average last fragment length:	133	135	134	135	135	136	123	135	132	135	131	135	132	123	130	133	134	131	135	133	136	133	137	133	132	136	132	129	131	134	125	134	135
maximum length:	151	151	151	151	151	151	151	151	151	151	151	151	151	151	151	151	151	151	151	151	151	151	151	151	151	151	151	151	151	151	151	151	151
maximum first fragment length:	151	151	151	151	151	151	151	151	151	151	151	151	151	151	151	151	151	151	151	151	151	151	151	151	151	151	151	151	151	151	151	151	151
maximum last fragment length:	151	151	151	151	151	151	151	151	151	151	151	151	151	151	151	151	151	151	151	151	151	151	151	151	151	151	151	151	151	151	151	151	151
average quality:	37.3	37.3	35.7	37.3	37.3	37.3	37.9	37.3	37.2	37.3	37.2	37.3	35.7	35.3	37.3	37.2	37.3	37.2	37.1	37.1	37.2	37.4	37.3	37.3	37.3	37.2	37.4	35.2	37.4	37.3	34.8	37.3	37.4
