Sample	Samtools_mqc-generalstats-samtools-error_rate	Samtools_mqc-generalstats-samtools-non_primary_alignments	Samtools_mqc-generalstats-samtools-reads_mapped	Samtools_mqc-generalstats-samtools-reads_mapped_percent	Samtools_mqc-generalstats-samtools-reads_properly_paired_percent	Samtools_mqc-generalstats-samtools-reads_MQ0_percent	Samtools_mqc-generalstats-samtools-raw_total_sequences
SRR25266111	0.001404035	0.0	2158.0	3.8683540673287204	3.8540135517871867	0.0	55786.0
SRR25266112	0.001108899	0.0	13458.0	6.682489870501311	6.667593548899658	0.0	201392.0
SRR25266113	0.002140893	0.0	1064.0	3.98710934572435	3.9721202128456867	0.0	26686.0
SRR25266114	0.001291867	0.0	3237.0	6.271554229472624	6.238617429379626	0.0	51614.0
SRR25266115	0.001397407	0.0	4561.0	5.651936850975241	5.6457409105554035	0.0	80698.0
SRR25266116	0.00162886	0.0	3355.0	6.919237749546279	6.875928064675795	0.0	48488.0
SRR25266117	0.002177391	0.0	1525.0	4.140421372719374	3.909643788010426	0.0	36832.0
SRR25266118	0.001431143	0.0	2054.0	4.439545238404011	4.4352224095448065	0.0	46266.0
SRR25266119	0.001298618	0.0	2486.0	4.287537511641544	4.263392087199476	0.0	57982.0
SRR25266120	0.001315725	0.0	2580.0	6.61402789171452	6.61402789171452	0.0	39008.0
SRR25266121	0.001301048	0.0	7995.0	5.130591028685105	5.102996855547713	0.0	155830.0
SRR25266122	0.001226561	0.0	7194.0	6.176697862110415	6.159526058212415	0.0	116470.0
SRR25266123	0.002503707	0.0	1229.0	4.6929891553383225	4.68153352680617	0.0	26188.0
SRR25266124	0.00344779	0.0	2973.0	5.542712256236251	5.5110183079160295	0.0	53638.0
SRR25266125	0.001360667	0.0	4979.0	5.780662239353551	5.7632471090883755	0.0	86132.0
SRR25266126	0.001290649	0.0	1700.0	2.1061499578770007	2.0788938995985924	0.0	80716.0
SRR25266127	0.001389213	0.0	3056.0	3.4098770391198587	3.398719064515409	0.0	89622.0
SRR25266128	0.0009568631	0.0	1870.0	11.724137931034482	11.724137931034482	0.0	15950.0
SRR25266129	0.001080564	0.0	1498.0	4.217579818683484	4.031758544963117	0.0	35518.0
SRR25266130	0.001471959	0.0	1869.0	5.5734478439792445	5.57046579590863	0.0	33534.0
SRR25266131	0.001901907	0.0	3578.0	5.288205734555128	5.240910434525569	0.0	67660.0
SRR25266132	0.0007963789	0.0	930.0	5.293715846994536	5.2823315118397085	0.0	17568.0
SRR25266133	0.001400819	0.0	4347.0	7.869012707722385	7.856341189674524	0.0	55242.0
SRR25266134	0.001323934	0.0	1087.0	4.097866244439418	4.094096358289979	0.0	26526.0
SRR25266135	0.0009339357	0.0	634.0	3.219581555961812	3.219581555961812	0.0	19692.0
SRR25266136	0.001240606	0.0	7151.0	3.534010714215115	3.5295629311878547	0.0	202348.0
SRR25266137	0.00109112	0.0	2246.0	4.276791834869373	4.26917510853835	0.0	52516.0
SRR25266138	0.003415629	0.0	1523.0	7.028149515459161	7.023534840793724	0.0	21670.0
SRR25266139	0.001194414	0.0	966.0	2.9085872576177287	2.9025653378297	0.0	33212.0
SRR25266140	0.00113386	0.0	3436.0	5.114617445668354	5.096754986603156	0.0	67180.0
SRR25266141	0.004043933	0.0	974.0	2.5976104117772563	2.5656069980797955	0.0	37496.0
SRR25266142	0.001611205	0.0	5108.0	4.594930104528363	4.447402982926434	0.0	111166.0
SRR25266143	0.001352026	0.0	4546.0	6.5112148729553985	6.4625168294709106	0.0	69818.0
