Sample	raw_total_sequences	filtered_sequences	sequences	is_sorted	1st_fragments	last_fragments	reads_mapped	reads_mapped_and_paired	reads_unmapped	reads_properly_paired	reads_paired	reads_duplicated	reads_MQ0	reads_QC_failed	non-primary_alignments	supplementary_alignments	total_length	total_first_fragment_length	total_last_fragment_length	bases_mapped	bases_mapped_(cigar)	bases_trimmed	bases_duplicated	mismatches	error_rate	average_length	average_first_fragment_length	average_last_fragment_length	maximum_length	maximum_first_fragment_length	maximum_last_fragment_length	average_quality	insert_size_average	insert_size_standard_deviation	inward_oriented_pairs	outward_oriented_pairs	pairs_with_other_orientation	pairs_on_different_chromosomes	percentage_of_properly_paired_reads_(%)	reads_mapped_percent	reads_mapped_and_paired_percent	reads_unmapped_percent	reads_properly_paired_percent	reads_paired_percent	reads_duplicated_percent	reads_MQ0_percent	reads_QC_failed_percent
SRR25266111	55786.0	0.0	55786.0	1.0	27893.0	27893.0	2158.0	2158.0	53628.0	2150.0	55786.0	58.0	0.0	0.0	0.0	6.0	7440016.0	3726692.0	3713324.0	293911.0	290591.0	0.0	7489.0	408.0	0.001404035	133.0	134.0	133.0	151.0	151.0	151.0	37.3	262.5	163.3	932.0	147.0	0.0	0.0	3.9	3.8683540673287204	3.8683540673287204	96.13164593267129	3.8540135517871867	100.0	0.10396873767611946	0.0	0.0
SRR25266112	201392.0	0.0	201392.0	1.0	100696.0	100696.0	13458.0	13454.0	187934.0	13428.0	201392.0	1260.0	0.0	0.0	0.0	29.0	27313665.0	13694443.0	13619222.0	1839272.0	1817118.0	0.0	167253.0	2015.0	0.001108899	135.0	136.0	135.0	151.0	151.0	151.0	37.3	265.9	162.4	5762.0	961.0	4.0	0.0	6.7	6.682489870501311	6.680503694287757	93.31751012949869	6.667593548899658	100.0	0.6256455072694049	0.0	0.0
SRR25266113	26686.0	0.0	26686.0	1.0	13343.0	13343.0	1064.0	1064.0	25622.0	1060.0	26686.0	12.0	0.0	0.0	0.0	0.0	3589331.0	1799846.0	1789485.0	144479.0	142931.0	0.0	1656.0	306.0	0.002140893	134.0	135.0	134.0	151.0	151.0	151.0	35.7	234.7	125.4	456.0	75.0	1.0	0.0	4.0	3.98710934572435	3.98710934572435	96.01289065427565	3.9721202128456867	100.0	0.04496739863598891	0.0	0.0
SRR25266114	51614.0	0.0	51614.0	1.0	25807.0	25807.0	3237.0	3236.0	48377.0	3220.0	51614.0	68.0	0.0	0.0	0.0	26.0	6969671.0	3492445.0	3477226.0	439701.0	432707.0	0.0	9483.0	559.0	0.001291867	135.0	135.0	135.0	151.0	151.0	151.0	37.3	258.0	163.9	1383.0	235.0	0.0	0.0	6.2	6.271554229472624	6.269616770643624	93.72844577052739	6.238617429379626	100.0	0.13174720037199208	0.0	0.0
SRR25266115	80698.0	0.0	80698.0	1.0	40349.0	40349.0	4561.0	4560.0	76137.0	4556.0	80698.0	192.0	0.0	0.0	0.0	1.0	10880198.0	5450833.0	5429365.0	622867.0	616141.0	0.0	25027.0	861.0	0.001397407	134.0	135.0	135.0	151.0	151.0	151.0	37.3	266.5	166.2	1955.0	325.0	0.0	0.0	5.6	5.651936850975241	5.6506976628912735	94.34806314902477	5.6457409105554035	100.0	0.23792411212173784	0.0	0.0
SRR25266116	48488.0	0.0	48488.0	1.0	24244.0	24244.0	3355.0	3352.0	45133.0	3334.0	48488.0	104.0	0.0	0.0	0.0	10.0	6591134.0	3302407.0	3288727.0	462665.0	457375.0	0.0	14578.0	745.0	0.00162886	135.0	136.0	136.0	151.0	151.0	151.0	37.3	266.3	160.3	1454.0	218.0	4.0	0.0	6.9	6.919237749546279	6.913050651707639	93.08076225045372	6.875928064675795	100.0	0.21448605840620358	0.0	0.0
SRR25266117	36832.0	0.0	36832.0	1.0	18416.0	18416.0	1525.0	1524.0	35307.0	1440.0	36832.0	65.0	0.0	0.0	0.0	94.0	4522989.0	2262454.0	2260535.0	189661.0	181869.0	0.0	7861.0	396.0	0.002177391	122.0	123.0	123.0	151.0	151.0	151.0	37.9	206.7	250.4	552.0	205.0	5.0	0.0	3.9	4.140421372719374	4.137706342311033	95.85957862728063	3.909643788010426	100.0	0.1764769765421373	0.0	0.0
SRR25266118	46266.0	0.0	46266.0	1.0	23133.0	23133.0	2054.0	2052.0	44212.0	2052.0	46266.0	48.0	0.0	0.0	0.0	0.0	6258554.0	3133359.0	3125195.0	284299.0	281593.0	0.0	6611.0	403.0	0.001431143	135.0	135.0	135.0	151.0	151.0	151.0	37.3	281.4	172.3	914.0	112.0	0.0	0.0	4.4	4.439545238404011	4.4352224095448065	95.56045476159599	4.4352224095448065	100.0	0.10374789262093113	0.0	0.0
SRR25266119	57982.0	0.0	57982.0	1.0	28991.0	28991.0	2486.0	2482.0	55496.0	2472.0	57982.0	72.0	0.0	0.0	0.0	8.0	7676080.0	3849522.0	3826558.0	332901.0	328811.0	0.0	9908.0	427.0	0.001298618	132.0	133.0	132.0	151.0	151.0	151.0	37.2	240.1	150.8	1015.0	224.0	2.0	0.0	4.3	4.287537511641544	4.28063881894381	95.71246248835845	4.263392087199476	100.0	0.12417646855920803	0.0	0.0
SRR25266120	39008.0	0.0	39008.0	1.0	19504.0	19504.0	2580.0	2580.0	36428.0	2580.0	39008.0	74.0	0.0	0.0	0.0	6.0	5269964.0	2639662.0	2630302.0	351894.0	346577.0	0.0	9400.0	456.0	0.001315725	135.0	135.0	135.0	151.0	151.0	151.0	37.3	263.8	162.8	1100.0	190.0	0.0	0.0	6.6	6.61402789171452	6.61402789171452	93.38597210828547	6.61402789171452	100.0	0.18970467596390483	0.0	0.0
